playlist_id,song_id
1132,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw
1132,spotify:track:4pdPtRcBmOSQDlJ3Fk945m
1132,spotify:track:6DNtNfH8hXkqOX1sjqmI7p
1132,spotify:track:6i0V12jOa3mr6uu4WYhUBr
1132,spotify:track:1vvNmPOiUuyCbgWmtc6yfm
1132,spotify:track:4dASQiO1Eoo3RJvt74FtXB
1132,spotify:track:2Z8WuEywRWYTKe1NybPQEW
1132,spotify:track:2XMTqoHHSH0lvuXrvIEdco
1132,spotify:track:7yyRTcZmCiyzzJlNzGC9Ol
1132,spotify:track:4tCtwWceOPWzenK2HAIJSb
1132,spotify:track:7yCqehT9dKACTFy7YugP0J
1132,spotify:track:0tICYNayWWhH9GPeFrfjfD
1132,spotify:track:6fujklziTHa8uoM5OQSfIo
1132,spotify:track:6b8Be6ljOzmkOmFslEb23P
1132,spotify:track:5GXAXm5YOmYT0kL5jHvYBt
1132,spotify:track:1CnPYaKxTVb4LWOtiGOm0m
1132,spotify:track:7j56HrjR9cGzvekvZY3Faz
1132,spotify:track:0KKkJNfGyhkQ5aFogxQAPU
1132,spotify:track:2Fe6gDE0mCZz0g98i5QpVL
1132,spotify:track:0dPBlz8N0veeceejtuvpPz
1132,spotify:track:7675gjlUZzneYiMrQ9Inx8
1132,spotify:track:0B8B8cVRFIG1yznoQe7c9s
1186,spotify:track:3SktMqZmo3M9zbB7oKMIF7
1186,spotify:track:78DwRIo6Vj6wqteyerGetr
1186,spotify:track:6wZI4mdT8JwXgkGURnBQiq
1186,spotify:track:4gs07VlJST4bdxGbBsXVue
1186,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q
1186,spotify:track:75JFxkI2RXiU7L9VXzMkle
1186,spotify:track:0ytw2owVvegkIS87txqV1O
1186,spotify:track:0Cvjlph1WGbwZY1PlMEtJY
1186,spotify:track:38YgZVHPWOWsKrsCXz6JyP
1186,spotify:track:5gBQ3x6u7DCvMW1QoP3CpG
1186,spotify:track:4L2K7JKseFCBoHMZEAszW0
1186,spotify:track:3kZC0ZmFWrEHdUCmUqlvgZ
1186,spotify:track:53Pgsvu3qSYO2aXt5J2vcL
1187,spotify:track:2aIB1CdRRG7YLBu9hNw9nR
1187,spotify:track:6i0V12jOa3mr6uu4WYhUBr
1187,spotify:track:2Z8WuEywRWYTKe1NybPQEW
1187,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn
