playlist_id,playlist_name,playlist_collab
1004,Indie,false
1005,college,false
1011,LOCO,false
1036,Wedding Playlist,true
1057,NC,false
1067,Car Rides,false
1069,Dance,false
1070,Ma,false
1072,Classics,false
1076,Rap/hiphop,false
1098,car,false
1101,Rock,false
1103,WORKOUT!!,false
1117,car,false
1119,Old Jams,false
1129,Hype,false
1132,running 3,false
1136,Alternative Rock,false
1149,Alternative,false
1155,Rap,false
1168,#tbt,false
1179,hoco,false
1183,Electric Love,false
1187,Sept 2016,false
1189,Marathon,false
1213,my heart,false
1224,Ehh,false
1226,summer 17,false
1228,Best songs,false
1233,alt,false
1244,Current,false
1255,old jams,false
1264,Try Me,false
1276,FIREFLY 2016,false
1281,New Wave,false
1283,Help. ,false
1292,Drugs,false
1309,Jammin,false
1310,Wanderlust,false
1313,Fun,false
1323,BLAST from the PAST,false
1333,Party,false
1335,AM,false
1343,Stuff,false
1347,Up,false
1380,Hips Don't Lie,false
1408,feels,false
1412,90s,false
1413,90's Hits,false
1418,fire,false
1431,Wake Up,false
1435,throwback hits,false
1460,oldies but goodies,false
1472,fav rap :),false
1473,Rock/Alt,false
1509,Mine,false
1511,Q2,false
1519,litty,false
1525,🔥🔥🔥,false
1534,wedding playlist,false
1551,Afrikaans,false
1581,80s jams,false
1588,🔥🔥,false
1602,SEPTEMBER '17,false
1603,july 2016,false
1618,Alternative,false
1632,HS,false
1634,Rap,false
1635,sad boi,false
1636,Best,false
1688,SPRING!,false
1691,work,false
1692,Brandon,false
1693,vroom,false
1759,Flashback,false
1761,Relax,false
1777,Spotify.Me,false
1779,Bet,false
1783,// Drive,false
1787,settle down,false
1798,hoco,false
1803,lake,false
1808,Holiday Party,false
1812,...mind,false
1817,beats,false
1825,Jesse,false
1840,Vibes,false
1841,getting ready,false
1855,Music,false
1858,smiles :),false
1874,scott,false
1887,Saturday,false
1895,Michelle,false
1899,Classics,false
1902,Country Lovin,false
1916,yee,false
1921,Idk,false
1922,snowboarding,false
1926,feels,false
1947,workout 2,false
1958,HYPEBEAST,false
1960,New Beginning. ,false
1975,2015 Top Tracks,false
1978,different,false
2005,sad,false
2006,#Lifting ,false
2027,Werk,false
2031,Music,false
2037,Rando,false
2050,Beach day,false
2067,rappy,false
2086,Feels,false
2088,throwback,false
2092,❄️,false
2102,Perfect ,false
2117,Just the Best,false
2118,WORKOUT,false
2121,Party,false
2130,new.,false
2131,80s,false
2140,Workout Playlist,false
2145,work,false
2146,Beachy,false
2147,new,false
2150,dope,false
2158,Running,false
2160,Hard Rock,false
2190,Summer 2015,false
2199,New Years,false
2204,my life,false
2232,Fun.,false
2240,Naptime,false
2304,Throwback Jams,false
2312,Mine,false
2314,Relaxing ,false
2315,out,false
2333,Hardcore ,false
2336,ben,false
2366,Chill,false
2371,concert,false
2373,car,false
2382,Rap,false
2404,in love,false
2407,Concentration,false
2417,Goa,false
2432,Club,false
2433,Mixed,false
2441,chill,false
2444,vibin,false
2458,abroad,false
2474,80s,false
2522,asdfghjkl,false
2527,country,false
2540,Hood,false
2541,New,false
2546,Noosa Tastiest Playlist,false
2551,PARTAYY,false
2558,Leah,false
2570,Pool Party,false
2602,Singing songs,false
2605,Rap 2.0,false
2606,inspiration,false
2613,60's,false
2621,Kids,false
2624,Kuntry,false
2642,Rainy Days,false
2643,Throwback Hits  ,false
2648,YOU,false
2653,Marlene,false
2655,AUTUMN,false
2676,Popular Songs,false
2691,graduation,false
2696,Gym Songs,false
2709,Ok,false
2728,Addicted,false
2731,pump up,false
2766,LDN,false
2767,Hop,false
2784,Portland ,true
2792,Chill out,false
2805,JOY,false
2808,HS,false
2832,rock,false
2836,throwbacks ,false
2852,Sexy Time,false
2856,Mood Music,false
2858,Party Bus,false
2859,2015,false
2867,Lit🔥,false
2892,r&b,false
2909,New Hip Hop,false
2929,Rap,false
2941,Chill Music,false
2949,Great songs,false
2969,Tsunami ,false
2977,Family,false
2985,2k,false
2986,Pregame,false
3003,chill,false
3005,Dad,false
3030,THROW IT BACK ,false
3038,stuff ,false
3046,jams,false
3061,Chill Music,false
3062,winter 16/17,false
3068,groovin,false
3074,throwbacks,false
3088,everything good,false
3092,90's hits,false
3149,Weekly,false
3154,country🎸,false
3158,Motown,false
3159,WAVES,false
3163,Jams,false
3167,country !!!!,false
3176,Rock Classics,false
3179,Flow,false
3189,workout,false
3195,FIRE🔥,false
3196,Rap Mix,false
3212,throwback bops,false
3215,xyz,false
3225,Electro ,false
3226,Golden years,false
3229,mellow,false
3230,Workout ,false
3235,beach chill,false
3247,trip,false
3262,GET REKT,false
3263,Chill Bro,false
3271,Classic Rock,false
3284,Dancing in the Moonlight,false
3301,Feel good songs,false
3340,new,false
3360,Summer 2017,false
3385,gone country,false
3387,90s Dance,false
3391,Trip,false
3396,70s-80s,false
3407,poppin,false
3415,Downtime,false
3423,chill,false
3449,tb,false
3453,Airplane,false
3468,classic rock ,false
3472,m&m,true
3486,other,false
3518,country ,false
3519,vibes,false
3539,lit songs,false
3550,Partay,false
3564,lol,false
3571,pump up,false
3583,Bump,false
3584,Summer,false
3586,Throwbacks,false
3587,childhood jams,false
3592,detox,false
3596,Snowboarding,false
3598,throwbacks,false
3599,groovin,false
3613,💗💗,false
3614,rap,false
3630,concert ,false
3635,vintage,true
3650,✨✨,false
3653,Up beat,false
3655,oldies,false
3658,Music 1,false
3679,sophomore year,false
3718,DAB,false
3725,vibezz,false
3731,80s Rock,false
3760,bands,false
3798,Amanda,false
3807,Zumba,false
3842,Chillin',false
